blink_rate,gaze_center,head_angle,face_detected,typing_speed,mouse_movement,mouse_click_rate,idle_time,focus_score,productivity_score,cognitive_load
0.0,1,0.12568485736846924,1,0.0,5.4,0.0,0.4988439083099365,90,50,Low
0.0,1,0.12444806098937988,1,0.0,0.0,0.0,0.5554602146148682,80,40,Low
0.0,1,0.12489008903503418,1,0.0,0.0,0.0,0.6439812183380127,80,40,Low
0.0,1,0.12335354089736938,1,0.0,0.0,0.0,0.763512134552002,80,40,Low
0.0,1,0.12455993890762329,1,0.0,0.0,0.0,0.8457009792327881,80,40,Low
0.0,1,0.12443354725837708,1,0.0,0.0,0.0,0.9107058048248291,80,40,Low
0.0,1,0.12435543537139893,1,0.0,4.0,0.0,0.0020008087158203125,90,49,Low
0.0,1,0.12345358729362488,1,0.0,6.2,0.0,0.0020055770874023438,90,51,Low
0.0,1,0.12394678592681885,1,0.0,6.0,0.0,0.0019979476928710938,90,51,Low
0.0,1,0.12252721190452576,1,0.0,4.0,0.0,0.002992391586303711,90,49,Low
0.0,1,0.12557464838027954,1,0.0,6.2,0.0,0.0020096302032470703,90,51,Low
0.0,1,0.12068727612495422,1,0.0,8.0,0.0,0.006006479263305664,90,53,Low
0.0,1,0.12150028347969055,1,0.0,1.6,0.0,0.015392303466796875,90,46,Low
0.0,1,0.12352368235588074,1,0.0,1.0,0.0,0.027803897857666016,90,46,Low
0.0,1,0.12388280034065247,1,0.0,0.2,0.0,0.013002395629882812,80,40,Low
0.0,1,0.12491366267204285,1,0.0,1.8,0.0,0.0020017623901367188,90,46,Low
0.0,1,0.1243835985660553,1,0.0,1.8,0.0,0.02760457992553711,90,46,Low
0.0,1,0.12448051571846008,1,0.0,0.2,0.0,0.07497811317443848,80,40,Low
0.0,1,0.12395396828651428,1,0.0,0.0,0.0,0.15454387664794922,80,40,Low
0.0,1,0.1250489354133606,1,0.0,0.0,0.0,0.27804040908813477,80,40,Low
0.0,1,0.12700462341308594,1,0.0,0.0,0.0,0.37302422523498535,80,40,Low
0.0,1,0.12394538521766663,1,0.0,0.0,0.0,0.4507732391357422,80,40,Low
0.0,1,0.12387067079544067,1,0.0,14.2,0.0,0.0,90,59,Low
0.0,1,0.12430334091186523,1,0.0,22.8,0.0,0.0010001659393310547,90,65,Low
0.0,1,0.12387901544570923,1,0.0,16.0,0.0,0.001995086669921875,90,61,Low
0.0,1,0.12353438138961792,1,0.0,12.6,0.0,0.002000093460083008,90,57,Low
0.0,1,0.12442734837532043,1,0.0,15.0,0.0,0.0,90,60,Low
0.0,1,0.1255461871623993,1,0.0,19.8,0.0,0.004002571105957031,90,64,Low
0.0,1,0.12494474649429321,1,0.0,1.8,0.0,0.01299738883972168,90,46,Low
0.0,1,0.12386137247085571,1,0.0,0.0,0.0,0.10870075225830078,80,40,Low
0.0,1,0.12431767582893372,1,0.0,4.0,0.0,0.009006500244140625,90,49,Low
0.0,1,0.12303441762924194,1,0.0,2.4,0.0,0.0020008087158203125,90,47,Low
0.0,1,0.12271317839622498,1,0.0,4.6,0.0,0.007993221282958984,90,49,Low
0.0,1,0.12532126903533936,1,0.0,0.0,0.0,0.09949612617492676,80,40,Low
0.0,1,0.124478280544281,1,0.0,0.0,0.2,0.09633708000183105,80,40,Low
0.0,1,0.12346154451370239,1,0.0,0.0,0.0,0.20794034004211426,80,40,Low
0.0,1,0.12550252676010132,1,0.0,0.0,0.0,0.30094480514526367,80,40,Low
0.0,1,0.12506645917892456,1,0.0,0.0,0.0,0.39388537406921387,80,40,Low
0.0,1,0.12495848536491394,1,0.0,1.2,0.0,0.002000570297241211,90,46,Low
0.0,1,0.1242874264717102,1,0.0,8.8,0.0,0.0010080337524414062,90,53,Low
0.0,1,0.12434378266334534,1,0.0,10.6,0.0,0.002999544143676758,90,55,Low
0.0,1,0.1236748993396759,1,0.0,10.6,0.0,0.0019998550415039062,90,55,Low
0.0,1,0.12543079257011414,1,0.0,4.6,0.0,0.0030024051666259766,90,49,Low
0.0,1,0.12312176823616028,1,0.0,5.6,0.0,0.027232646942138672,90,50,Low
